Netblock,Description,Num IPs
103.10.44.0/22,CLOUDMEDIA COMPANY LIMITED,1024
103.107.180.0/22,Pega Digital Content Company Limited,1024
103.125.192.0/22,Early Start Joint Stock Company,1024
103.131.68.0/22,Coc Coc Company Limited,1024
103.148.56.0/23,Viva social network Joint Stock Company,512
103.154.244.0/23,NSTECH VIET NAM JOINT STOCK COMPANY,512
103.199.8.0/24,GLTEC Corp,256
103.199.9.0/24,GLTEC Corp,256
103.207.36.0/22,VietServer Services technology company limited,1024
103.207.38.0/24,VietServer Services technology company limited,256
103.207.39.0/24,VietServer Services technology company limited,256
103.223.4.0/22,SIEUTECH Technology and Tranding Company Limited,1024
103.237.96.0/22,Bkav Corporation,1024
103.238.214.0/24,Rainbow E-Commerce Company Limited,256
103.238.215.0/24,Rainbow E-Commerce Company Limited,256
103.250.24.0/22,Sun Life Vietnam Insurance Company Limited,1024
103.255.236.0/24,Digital Storage Company Limited,256
103.255.237.0/24,Digital Storage Company Limited,256
103.255.238.0/24,Digital Storage Company Limited,256
103.255.239.0/24,Digital Storage Company Limited,256
103.42.56.0/24,Digital world data online company,256
103.42.57.0/24,Digital world data online company,256
103.42.58.0/24,Digital world data online company,256
103.42.59.0/24,Digital world data online company,256
103.47.192.0/23,"Vietnam F Tech., JSC",512
103.48.191.0/24,BStar Joint Stock Company,256
103.53.168.0/24,KDATA Company Limited,256
103.53.169.0/24,KDATA Company Limited,256
103.56.156.0/22,VCCorp Corporation,1024
103.57.220.0/22,iNET Media Company Limited,1024
103.68.252.0/22,CMN VietNam Online Joint stock company,1024
103.69.192.0/23,Soha Company Limited,512
103.82.36.0/22,Vung dia chi da thu hoi cua SUNDATA,1024
103.9.76.0/22,VINAHOST COMPANY LIMITED,1024
103.9.76.0/24,VINAHOST COMPANY LIMITED,256
103.9.77.0/24,VINAHOST COMPANY LIMITED,256
103.9.78.0/24,VINAHOST COMPANY LIMITED,256
103.9.79.0/24,VINAHOST COMPANY LIMITED,256
104.67.32.0/19,"Akamai Technologies, Inc.",8192
104.68.128.0/19,"Akamai Technologies, Inc.",8192
113.160.0.0/16,Vietnam Posts and Telecommunications Group,65536
113.160.0.0/18,Vietnam Posts and Telecommunications Group,16384
113.160.0.0/20,Vietnam Posts and Telecommunications Group,4096
113.160.112.0/20,Vietnam Posts and Telecommunications Group,4096
113.160.128.0/18,Vietnam Posts and Telecommunications Group,16384
113.160.128.0/20,Vietnam Posts and Telecommunications Group,4096
113.160.144.0/20,Vietnam Posts and Telecommunications Group,4096
113.160.160.0/20,Vietnam Posts and Telecommunications Group,4096
113.160.16.0/20,Vietnam Posts and Telecommunications Group,4096
113.160.176.0/20,Vietnam Posts and Telecommunications Group,4096
113.160.192.0/18,Vietnam Posts and Telecommunications Group,16384
113.160.192.0/20,Vietnam Posts and Telecommunications Group,4096
113.160.208.0/20,Vietnam Posts and Telecommunications Group,4096
113.160.218.0/24,Vietnam Posts and Telecommunications Group,256
113.160.224.0/20,Vietnam Posts and Telecommunications Group,4096
113.160.240.0/20,Vietnam Posts and Telecommunications Group,4096
113.160.32.0/20,Vietnam Posts and Telecommunications Group,4096
113.160.48.0/20,Vietnam Posts and Telecommunications Group,4096
113.160.64.0/18,Vietnam Posts and Telecommunications Group,16384
113.160.64.0/20,Vietnam Posts and Telecommunications Group,4096
113.160.80.0/20,Vietnam Posts and Telecommunications Group,4096
113.160.96.0/20,Vietnam Posts and Telecommunications Group,4096
113.161.0.0/16,Vietnam Posts and Telecommunications Group,65536
113.161.0.0/20,Vietnam Posts and Telecommunications Group,4096
113.161.0.0/21,Vietnam Posts and Telecommunications Group,2048
113.161.104.0/21,Vietnam Posts and Telecommunications Group,2048
113.161.112.0/20,Vietnam Posts and Telecommunications Group,4096
113.161.112.0/21,Vietnam Posts and Telecommunications Group,2048
113.161.120.0/21,Vietnam Posts and Telecommunications Group,2048
113.161.128.0/18,Vietnam Posts and Telecommunications Group,16384
113.161.128.0/20,Vietnam Posts and Telecommunications Group,4096
113.161.128.0/21,Vietnam Posts and Telecommunications Group,2048
113.161.136.0/21,Vietnam Posts and Telecommunications Group,2048
113.161.144.0/21,Vietnam Posts and Telecommunications Group,2048
113.161.152.0/21,Vietnam Posts and Telecommunications Group,2048
113.161.160.0/20,Vietnam Posts and Telecommunications Group,4096
113.161.160.0/21,Vietnam Posts and Telecommunications Group,2048
113.161.16.0/20,Vietnam Posts and Telecommunications Group,4096
113.161.16.0/21,Vietnam Posts and Telecommunications Group,2048
113.161.168.0/21,Vietnam Posts and Telecommunications Group,2048
113.161.176.0/20,Vietnam Posts and Telecommunications Group,4096
113.161.176.0/21,Vietnam Posts and Telecommunications Group,2048
113.161.184.0/21,Vietnam Posts and Telecommunications Group,2048
113.161.192.0/18,Vietnam Posts and Telecommunications Group,16384
113.161.192.0/20,Vietnam Posts and Telecommunications Group,4096
113.161.192.0/21,Vietnam Posts and Telecommunications Group,2048
113.161.200.0/21,Vietnam Posts and Telecommunications Group,2048
113.161.208.0/20,Vietnam Posts and Telecommunications Group,4096
113.161.208.0/21,Vietnam Posts and Telecommunications Group,2048
113.161.216.0/21,Vietnam Posts and Telecommunications Group,2048
113.161.224.0/20,Vietnam Posts and Telecommunications Group,4096
113.161.224.0/21,Vietnam Posts and Telecommunications Group,2048
113.161.232.0/21,Vietnam Posts and Telecommunications Group,2048
113.161.240.0/20,Vietnam Posts and Telecommunications Group,4096
113.161.240.0/21,Vietnam Posts and Telecommunications Group,2048
113.161.24.0/21,Vietnam Posts and Telecommunications Group,2048
113.161.248.0/21,Vietnam Posts and Telecommunications Group,2048
113.161.32.0/20,Vietnam Posts and Telecommunications Group,4096
113.161.32.0/21,Vietnam Posts and Telecommunications Group,2048
113.161.40.0/21,Vietnam Posts and Telecommunications Group,2048
103.130.216.0/22,Webico Company Limited,1024
103.142.24.0/23,Tino Group Joint Stock Company,512
103.142.26.0/23,Tinomail Company Limited,512
103.155.162.0/23,Representative officer of Tino Group Joint Stock Company,512
103.161.172.0/23,MINH HIEN SOLUTIONS COMPANY LIMITED,512
103.161.178.0/23,SOLAR E COMPANY LTD,512
103.162.14.0/23,Minh Duy Solution Company,512
103.162.20.0/23,DI LINH GROUP JOINT STOCK COMPANY,512
103.162.22.0/23,Dong Nam Energy Company Limited,512
183.91.160.0/24,Global Telecom Corp,256
183.91.176.0/21,Global Telecom Corp,2048
183.91.176.0/24,Global Telecom Corp,256
183.91.177.0/24,Global Telecom Corp,256
183.91.178.0/24,Global Telecom Corp,256
183.91.179.0/24,Global Telecom Corp,256
183.91.180.0/24,Global Telecom Corp,256
183.91.181.0/24,Global Telecom Corp,256
183.91.182.0/24,Global Telecom Corp,256
183.91.183.0/24,Global Telecom Corp,256
183.91.184.0/21,Global Telecom Corp,2048
183.91.184.0/22,Global Telecom Corp,1024
183.91.184.0/24,Global Telecom Corp,256
183.91.185.0/24,Global Telecom Corp,256
183.91.186.0/24,Global Telecom Corp,256
183.91.187.0/24,Global Telecom Corp,256
183.91.188.0/22,Global Telecom Corp,1024
183.91.188.0/24,Global Telecom Corp,256
183.91.189.0/24,Global Telecom Corp,256
202.55.132.0/22,Vung dia chi da thu hoi tu ADTEC,1024
202.55.132.0/24,Vung dia chi da thu hoi tu ADTEC,256
202.55.133.0/24,Vung dia chi da thu hoi tu ADTEC,256
202.55.134.0/24,Vung dia chi da thu hoi tu ADTEC,256
202.55.135.0/24,Vung dia chi da thu hoi tu ADTEC,256
103.141.176.0/23,Representative office of Tien Phat Technology Corporation,512
103.141.176.0/24,Representative office of Tien Phat Technology Corporation,256
103.141.177.0/24,Representative office of Tien Phat Technology Corporation,256
103.205.96.0/22,TIEN PHAT TECHNOLOGY CORPORATION,1024
103.205.96.0/24,TIEN PHAT TECHNOLOGY CORPORATION,256
103.205.97.0/24,TIEN PHAT TECHNOLOGY CORPORATION,256
103.205.98.0/24,TIEN PHAT TECHNOLOGY CORPORATION,256
103.205.99.0/24,TIEN PHAT TECHNOLOGY CORPORATION,256
103.89.84.0/22,Cong ty CP Cong Nghe Tien Phat-Chi Nhanh Ha Noi,1024
103.89.84.0/24,Cong ty CP Cong Nghe Tien Phat-Chi Nhanh Ha Noi,256
103.89.85.0/24,Cong ty CP Cong Nghe Tien Phat-Chi Nhanh Ha Noi,256
103.89.86.0/24,Cong ty CP Cong Nghe Tien Phat-Chi Nhanh Ha Noi,256
103.89.87.0/24,Cong ty CP Cong Nghe Tien Phat-Chi Nhanh Ha Noi,256
61.14.236.0/22,TIEN PHAT TECHNOLOGY CORPORATION,1024
61.14.236.0/24,TIEN PHAT TECHNOLOGY CORPORATION,256
61.14.237.0/24,TIEN PHAT TECHNOLOGY CORPORATION,256
61.14.238.0/24,TIEN PHAT TECHNOLOGY CORPORATION,256
61.14.239.0/24,TIEN PHAT TECHNOLOGY CORPORATION,256
103.143.142.0/23,N Support Joint Stock Company,512
103.143.142.0/24,N Support Joint Stock Company,256
103.143.143.0/24,N Support Joint Stock Company,256
103.143.144.0/23,N Group Investment Joint Stock Company,512
103.143.144.0/24,N Group Investment Joint Stock Company,256
103.143.145.0/24,N Group Investment Joint Stock Company,256
103.143.208.0/23,Branch of N Support Joint Stock Company,512
103.143.208.0/24,Branch of N Support Joint Stock Company,256
103.143.209.0/24,Branch of N Support Joint Stock Company,256
103.232.120.0/22,"VHOST CO., LTD",1024
103.232.120.0/24,"VHOST CO., LTD",256
103.232.121.0/24,"VHOST CO., LTD",256
103.232.122.0/24,"VHOST CO., LTD",256
103.232.123.0/24,"VHOST CO., LTD",256
103.27.60.0/22,Viet Solutions Services Trading Company Limited,1024
103.27.60.0/24,Viet Solutions Services Trading Company Limited,256
103.27.61.0/24,Viet Solutions Services Trading Company Limited,256
103.27.62.0/24,Viet Solutions Services Trading Company Limited,256
103.27.63.0/24,Viet Solutions Services Trading Company Limited,256
103.92.28.0/22,Viet solutions servers trading company limited - hanoi branch,1024
103.92.28.0/24,Viet solutions servers trading company limited - hanoi branch,256
103.92.29.0/24,Viet solutions servers trading company limited - hanoi branch,256
103.92.30.0/24,Viet solutions servers trading company limited - hanoi branch,256
103.92.31.0/24,Viet solutions servers trading company limited - hanoi branch,256
45.122.220.0/22,Viet Solutions Services Trading Company Limited,1024
103.129.80.0/24,Telecommunication Service Center - Branch of Vietnam Technology and Telecommunication JSC,256
103.129.81.0/24,Telecommunication Service Center - Branch of Vietnam Technology and Telecommunication JSC,256
103.129.82.0/24,Telecommunication Service Center - Branch of Vietnam Technology and Telecommunication JSC,256
103.129.83.0/24,Telecommunication Service Center - Branch of Vietnam Technology and Telecommunication JSC,256
103.153.218.0/24,Hai Phong Representative office of Vietnam Technology and Telecommunication JSC,256
103.153.219.0/24,Hai Phong Representative office of Vietnam Technology and Telecommunication JSC,256
103.153.220.0/24,Nghe An Representative office of Vietnam Technology and Telecommunication JSC,256
103.153.222.0/24,Quang Ngai Representative office of Vietnam Technology and Telecommunication JSC,256
103.17.88.0/24,Vietnam Technology and Telecommunication JSC,256
103.17.89.0/24,Vietnam Technology and Telecommunication JSC,256
103.17.90.0/24,Vietnam Technology and Telecommunication JSC,256
103.17.91.0/24,Vietnam Technology and Telecommunication JSC,256
180.148.0.0/21,Vietnam Technology and Telecommunication JSC,2048
180.148.0.0/24,Vietnam Technology and Telecommunication JSC,256
180.148.1.0/24,Vietnam Technology and Telecommunication JSC,256
180.148.2.0/24,Vietnam Technology and Telecommunication JSC,256
180.148.3.0/24,Vietnam Technology and Telecommunication JSC,256
180.148.4.0/24,Vietnam Technology and Telecommunication JSC,256
180.148.5.0/24,Vietnam Technology and Telecommunication JSC,256
180.148.6.0/24,Vietnam Technology and Telecommunication JSC,256
180.148.7.0/24,Vietnam Technology and Telecommunication JSC,256
45.118.136.0/24,Vietnam Technology and Telecommunication JSC,256
45.118.137.0/24,Vietnam Technology and Telecommunication JSC,256
45.118.138.0/24,Vietnam Technology and Telecommunication JSC,256
45.118.139.0/24,Vietnam Technology and Telecommunication JSC,256
103.129.188.0/24,Branch of Vietnamobile Telecommunications Joint Stock Company in Da Nang,256
103.129.189.0/24,Branch of Vietnamobile Telecommunications Joint Stock Company in Da Nang,256
103.129.190.0/24,Branch of Vietnamobile Telecommunications Joint Stock Company in Da Nang,256
103.129.191.0/24,Branch of Vietnamobile Telecommunications Joint Stock Company in Da Nang,256
103.19.96.0/22,Vietnamobile Telecommunications Joint Stock Company,1024
103.19.96.0/23,Vietnamobile Telecommunications Joint Stock Company,512
103.19.96.0/24,Vietnamobile Telecommunications Joint Stock Company,256
103.19.97.0/24,Vietnamobile Telecommunications Joint Stock Company,256
103.19.98.0/23,Vietnamobile Telecommunications Joint Stock Company,512
103.19.98.0/24,Vietnamobile Telecommunications Joint Stock Company,256
103.19.99.0/24,Vietnamobile Telecommunications Joint Stock Company,256
103.249.20.0/22,Vietnamobile Telecommunications Joint Stock Company,1024
103.249.20.0/23,Vietnamobile Telecommunications Joint Stock Company,512
103.249.20.0/24,Vietnamobile Telecommunications Joint Stock Company,256
103.249.21.0/24,Vietnamobile Telecommunications Joint Stock Company,256
103.249.22.0/23,Vietnamobile Telecommunications Joint Stock Company,512
103.249.22.0/24,Vietnamobile Telecommunications Joint Stock Company,256
103.249.23.0/24,Vietnamobile Telecommunications Joint Stock Company,256
103.7.36.0/22,Vietnamobile Telecommunications Joint Stock Company,1024
103.7.36.0/23,Vietnamobile Telecommunications Joint Stock Company,512
103.7.36.0/24,Vietnamobile Telecommunications Joint Stock Company,256
103.7.37.0/24,Vietnamobile Telecommunications Joint Stock Company,256
103.7.38.0/23,Vietnamobile Telecommunications Joint Stock Company,512
103.7.38.0/24,Vietnamobile Telecommunications Joint Stock Company,256
103.7.39.0/24,Vietnamobile Telecommunications Joint Stock Company,256
202.172.4.0/24,Vietnamobile Telecommunications Joint Stock Company,256
202.172.5.0/24,Vietnamobile Telecommunications Joint Stock Company,256
203.170.26.0/23,Vietnamobile Telecommunications Joint Stock Company,512
203.170.26.0/24,Vietnamobile Telecommunications Joint Stock Company,256
203.170.27.0/24,Vietnamobile Telecommunications Joint Stock Company,256
45.126.96.0/22,"6th floor, No7 Chua Boc, Dong Da, Ha Noi",1024
